recipient_uei,full_addy,recipient_CAGE,recipient_name,recipient_dba,phys_address_01,phys_address_02,phys_address_city,phys_address_st,phys_address_ZIP,phys_address_ZIP2,phys_address_country,phys_address_cong_dist,recipient_url,entity_structure,bus_type_counter,bus_type_string,primary_NAICS,NAICS_code_counter,NAICS_code_string,PSC_code_counter,PSC_code_string,street,city,state,postalcode,lat,long,full_address
SELPYEM5SQ21,2820 CLARK AVENUE NA NORCO CA 92860,5SUJ5,CORONA-NORCO UNIFIED SCHOOL DISTRICT,NA,2820 CLARK AVENUE,NA,NORCO,CA,92860,1903,USA,41,NA,2A,0004,12~H6~M8~OH,NA,0000,NA,0000,NA,2820 CLARK AVENUE,NORCO,CA,92860,33.9222887611635,-117.5609158431608,NA
SETRY5EXL6J5,14729 QUARTER HORSE NA VON ORMY TX 78073,60ED1,"VON ORMY, CITY OF",NA,14729 QUARTER HORSE,NA,VON ORMY,TX,78073,NA,USA,23,NA,2A,0002,12~C8,921110,0001,921110N,0000,NA,14729 QUARTER HORSE,VON ORMY,TX,78073,29.276777,-98.653882,NA
SEURLKKPN8G7,1224 KINNEAR RD NA COLUMBUS OH 43212,1MYP0,"OHIO STATE UNIVERSITY, THE",OARNET,1224 KINNEAR RD,NA,COLUMBUS,OH,43212,1154,USA,03,NA,2A,0003,2F~G7~M8,611310,0001,611310N,0000,NA,1224 KINNEAR RD,COLUMBUS,OH,43212,39.9999223,-83.0400560557101,NA
SEWMCB9EXL34,801 12TH ST NA SACRAMENTO CA 95814,5GUR9,SACRAMENTO HOUSING AND REDEVELOPMENT AGENCY,NA,801 12TH ST,NA,SACRAMENTO,CA,95814,2929,USA,07,NA,2A,0004,12~8B~C7~C8,NA,0000,NA,0000,NA,801 12TH ST,SACRAMENTO,CA,95814,38.581642,-121.489802,NA
SFLHMCK5EH49,1891 FOREST LN NA GARLAND TX 75042,3QAR5,CITY OF GARLAND,NA,1891 FOREST LN,NA,GARLAND,TX,75042,7915,USA,05,https://garlandpolice.com/,2A,0002,12~C8,NA,0000,NA,0000,NA,1891 FOREST LN,GARLAND,TX,75042,32.90901537078101,-96.65566225594442,NA
SG98APEZBLZ6,9621 RIDGEHAVEN CT NA SAN DIEGO CA 92123,992N4,"SAN DIEGO, COUNTY OF",SHERIFF DEPT,9621 RIDGEHAVEN CT,NA,SAN DIEGO,CA,92123,1636,USA,51,NA,2A,0002,12~C7,311991,0001,311991N,0000,NA,9621 RIDGEHAVEN CT,SAN DIEGO,CA,92123,32.8191406,-117.12088108387644,NA
SGBMHQ7VXNH5,323 DR MARTIN LUTHER KING JR BLVD NA NEWARK NJ 07102,4B854,NEW JERSEY INSTITUTE OF TECHNOLOGY,NA,323 DR MARTIN LUTHER KING JR BLVD,NA,NEWARK,NJ,07102,1824,USA,10,www.njit.edu,2A,0003,2F~M8~OH,611310,0001,611310N,0000,NA,323 DR MARTIN LUTHER KING JR BLVD,NEWARK,NJ,07102,40.74332565217392,-74.17604647826087,NA
SGE5JJ2221M2,10636 NE PRESCOTT ST NA PORTLAND OR 97220,5L7X7,MULTNOMAH CO SCHOOL DIST 3,NA,10636 NE PRESCOTT ST,NA,PORTLAND,OR,97220,2648,USA,03,https://www.parkrose.k12.or.us/,2A,0002,12~H6,NA,0000,NA,0000,NA,10636 NE PRESCOTT ST,PORTLAND,OR,97220,45.5545377,-122.55319369387124,NA
SGQXJ6JPSA73,14705 WOODFOREST BLVD NA HOUSTON TX 77015,4FFA1,GALENA PARK INDEPENDENT SCHOOL DISTRICT,NA,14705 WOODFOREST BLVD,NA,HOUSTON,TX,77015,3259,USA,29,NA,2A,0002,12~H6,NA,0000,NA,0000,NA,14705 WOODFOREST BLVD,HOUSTON,TX,77015,29.7930046,-95.1902215,NA
SGQYZNJNKXL4,1700 W WASHINGTON ST NA PHOENIX AZ 85007,3PBN4,MINE INSPECTOR ARIZONA STATE,NA,1700 W WASHINGTON ST,NA,PHOENIX,AZ,85007,2812,USA,03,NA,2A,0001,2F,238910,0001,238910N,0001,F011,1700 W WASHINGTON ST,PHOENIX,AZ,85007,33.4481203,-112.09780119910202,NA
