date,value,place_id,category_id
2017-01-01T00:00:00Z,192254719.39,c-pr--sju,NA
2018-01-01T00:00:00Z,188656198.1,c-pr--sju,NA
2019-01-01T00:00:00Z,195421798.1,c-pr--sju,NA
2020-01-01T00:00:00Z,278268838.15999997,c-pr--sju,NA
2021-01-01T00:00:00Z,1075000989.04,c-pr--sju,NA
2022-01-01T00:00:00Z,258351669.52,c-pr--sju,NA
2023-01-01T00:00:00Z,255337059.15000004,c-pr--sju,NA
2017-01-01T00:00:00Z,29752059.88,c-us-ak-anc,NA
2018-01-01T00:00:00Z,38913240.05,c-us-ak-anc,NA
2019-01-01T00:00:00Z,26152303,c-us-ak-anc,NA
2020-01-01T00:00:00Z,71072081.91000001,c-us-ak-anc,NA
2021-01-01T00:00:00Z,260233093.33999997,c-us-ak-anc,NA
2022-01-01T00:00:00Z,48832481.23,c-us-ak-anc,NA
2023-01-01T00:00:00Z,52101409.3,c-us-ak-anc,NA
2017-01-01T00:00:00Z,31111728.839999996,c-us-al-hsv,NA
2018-01-01T00:00:00Z,28954475.25999999,c-us-al-hsv,NA
2019-01-01T00:00:00Z,33981789.94,c-us-al-hsv,NA
2020-01-01T00:00:00Z,46086537.06999999,c-us-al-hsv,NA
2021-01-01T00:00:00Z,86584837.73,c-us-al-hsv,NA
2022-01-01T00:00:00Z,55375424.67999999,c-us-al-hsv,NA
2023-01-01T00:00:00Z,43407966.43,c-us-al-hsv,NA
2017-01-01T00:00:00Z,45683950.5,c-us-ar-lit,NA
2018-01-01T00:00:00Z,30655300.000000004,c-us-ar-lit,NA
2019-01-01T00:00:00Z,40269084.25,c-us-ar-lit,NA
2020-01-01T00:00:00Z,78644432.26,c-us-ar-lit,NA
2021-01-01T00:00:00Z,91878202.51,c-us-ar-lit,NA
2022-01-01T00:00:00Z,51988556.27,c-us-ar-lit,NA
2023-01-01T00:00:00Z,49198122.95,c-us-ar-lit,NA
2017-01-01T00:00:00Z,10368783.74,c-us-az-chd,NA
2018-01-01T00:00:00Z,13453711.52,c-us-az-chd,NA
2019-01-01T00:00:00Z,11960552.44,c-us-az-chd,NA
2020-01-01T00:00:00Z,12191963.919999998,c-us-az-chd,NA
2021-01-01T00:00:00Z,67713345.7,c-us-az-chd,NA
2022-01-01T00:00:00Z,14609820.76,c-us-az-chd,NA
2023-01-01T00:00:00Z,12322438.54,c-us-az-chd,NA
2017-01-01T00:00:00Z,16191,c-us-az-gbe,NA
2018-01-01T00:00:00Z,112655,c-us-az-gbe,NA
2019-01-01T00:00:00Z,14778,c-us-az-gbe,NA
2020-01-01T00:00:00Z,131266.84,c-us-az-gbe,NA
