date,value,place_id,category_id
2018-01-01 00:00:00,15416847.129999999,c-us-ca-bfl,
2019-01-01 00:00:00,20118754.609999996,c-us-ca-bfl,
2020-01-01 00:00:00,61783358.55,c-us-ca-bfl,
2021-01-01 00:00:00,155884607.87,c-us-ca-bfl,
2022-01-01 00:00:00,26344838.22,c-us-ca-bfl,
2023-01-01 00:00:00,19896651.77,c-us-ca-bfl,
2017-01-01 00:00:00,9357672.11,c-us-ca-cuv,
2018-01-01 00:00:00,6917288.28,c-us-ca-cuv,
2019-01-01 00:00:00,10167042.530000001,c-us-ca-cuv,
2020-01-01 00:00:00,5470176.68,c-us-ca-cuv,
2021-01-01 00:00:00,108321408.27,c-us-ca-cuv,
2022-01-01 00:00:00,948560.6300000007,c-us-ca-cuv,
2023-01-01 00:00:00,8398957.42,c-us-ca-cuv,
2017-01-01 00:00:00,65601016.95,c-us-ca-fat,
2018-01-01 00:00:00,50414202.190000005,c-us-ca-fat,
2019-01-01 00:00:00,70339698.59000002,c-us-ca-fat,
2020-01-01 00:00:00,171174815.91,c-us-ca-fat,
2021-01-01 00:00:00,329368141.11999995,c-us-ca-fat,
2022-01-01 00:00:00,88583059.39000002,c-us-ca-fat,
2023-01-01 00:00:00,78871746.93,c-us-ca-fat,
2017-01-01 00:00:00,2203211.44,c-us-ca-fnc,
2018-01-01 00:00:00,1897829.6400000001,c-us-ca-fnc,
2019-01-01 00:00:00,1930495.3,c-us-ca-fnc,
2020-01-01 00:00:00,1629435.1099999999,c-us-ca-fnc,
2021-01-01 00:00:00,67050121.01,c-us-ca-fnc,
2022-01-01 00:00:00,1421047.5,c-us-ca-fnc,
2023-01-01 00:00:00,2484827.97,c-us-ca-fnc,
2017-01-01 00:00:00,1938821,c-us-ca-ivn,
2018-01-01 00:00:00,2407654.85,c-us-ca-ivn,
2019-01-01 00:00:00,26183124.87,c-us-ca-ivn,
2020-01-01 00:00:00,4965188.930000002,c-us-ca-ivn,
2021-01-01 00:00:00,76624556.89999999,c-us-ca-ivn,
2022-01-01 00:00:00,4488073.8,c-us-ca-ivn,
2023-01-01 00:00:00,18020635.11,c-us-ca-ivn,
