Count,GEOID,SOLE Place ID,SOLE State Place ID,State FIPS,SOLE Country Place ID,Place FIPS,GNIS feature_id,City name,UEI,State Code,US Census Place Name,State,Census Region,Census Division,SoLE region,,,,Population 2021,Population 2021 Bin,2020 Census GEOIDs,Population Decennial Census 2020,us_bls_laus,us_bls_oews,us_bls_oews_old,us_cdc_usaleep,us_cdc_nchs,us_census_sahie,us_education_edfacts,us_nces_piaac,us_fbi_ucr,IMLS,OECD,us_prosperitynow,UN Habitat,lat_osm,long_osm,us_epa_aqs
17,0667000,c-us-ca-sfo,s-us-ca,06,n-us,67000,2411786,San Francisco,LYCMERUN3Z73,CA,San Francisco city,California,West,Pacific,Pacific West,"San Francisco, California",c-us-ca-sfo,815201,309014,"680,001 - 9,000,000",0667000,873965,LAUCT066700000000003,,,,,,,,CA0380100,"SAN FRANCISCO, CA",,"San Francisco, CA",,37.7790262,-122.41991,"San Francisco, California, USA"
34,0627000,c-us-ca-fat,s-us-ca,06,n-us,27000,2410546,Fresno,ELPGKCJ7DJK7,CA,Fresno city,California,West,Pacific,Pacific West,"Fresno, California",c-us-ca-fat,543215,345935,"480,001 - 680,000",0627000,542107,LAUCT062700000000003,23420,2840,,,,,,CA0100500,"FRESNO, CA",,"Fresno, CA",,36.7394421,-119.78483,"Fresno, California, USA"
35,0664000,c-us-ca-sac,s-us-ca,06,n-us,64000,2411751,Sacramento,M6LRDXXXVB87,CA,Sacramento city,California,West,Pacific,Pacific West,"Sacramento, California",c-us-ca-sac,525028,309014,"480,001 - 680,000",0664000,524943,LAUCT066400000000003,,,,,,,,CA0340400,"SACRAMENTO, CA",,"Sacramento, CA",,38.5810606,-121.4939,"Sacramento, California, USA"
42,0643000,c-us-ca-lgb,s-us-ca,06,n-us,43000,2410866,Long Beach,RXK8HCFVLS49,CA,Long Beach city,California,West,Pacific,Pacific West,"Long Beach, California",c-us-ca-lgb,#N/A,345935,"320,001 - 480,000",0643000,466742,LAUCT064300000000003,,,,,,,,CA0194100,"LONG BEACH, CA",,"Long Beach, CA",,33.7690164,-118.1916,"Long Beach, California, USA"
45,0653000,c-us-ca-oak,s-us-ca,06,n-us,53000,2411292,Oakland,GBDMTM5J75R6,CA,Oakland city,California,West,Pacific,Pacific West,"Oakland, California",c-us-ca-oak,433797,345935,"320,001 - 480,000",0653000,440646,LAUCT065300000000003,,,,,,,,CA0010900,"OAKLAND, CA",,"Oakland, CA",,37.8044557,-122.27136,"Oakland, California, USA"
48,0603526,c-us-ca-bfl,s-us-ca,06,n-us,03526,2409774,Bakersfield,YUJJHEWCPLZ5,CA,Bakersfield city,California,West,Pacific,Pacific West,"Bakersfield, California",c-us-ca-bfl,407581,345935,"320,001 - 480,000",0603526,403455,LAUCT060352600000003,,,,,,,,CA0150200,"BAKERSFIELD, CA",,"Bakersfield, CA",,35.3738712,-119.01946,"Bakersfield, California, USA"
56,0602000,c-us-ca-ana,s-us-ca,06,n-us,02000,2409704,Anaheim,J34GBL8PSNU5,CA,Anaheim city,California,West,Pacific,Pacific West,"Anaheim, California",c-us-ca-ana,#N/A,345935,"320,001 - 480,000",0602000,346824,LAUCT060200000000003,,,,,,,,CA0300100,"ANAHEIM, CA",,"Anaheim, CA",,33.8347516,-117.91173,"Anaheim, California, USA"
59,0675000,c-us-ca-sck,s-us-ca,06,n-us,75000,2411987,Stockton,MPGYKQEJZ2E6,CA,Stockton city,California,West,Pacific,Pacific West,"Stockton, California",c-us-ca-sck,#N/A,309014,"320,001 - 480,000",0675000,320804,LAUCT067500000000003,,,,,,,,CA0390500,"STOCKTON, CA",,"Stockton, CA",,37.9577016,-121.29078,"Stockton, California, USA"
62,0662000,c-us-ca-ral,s-us-ca,06,n-us,62000,2410965,Riverside,JYMYYKJ3MN56,CA,Riverside city,California,West,Pacific,Pacific West,"Riverside, California",c-us-ca-ral,317257,309014,"274,001 - 320,000",0662000,314998,LAUCT066200000000003,,,,,,,,CA0331300,"RIVERSIDE, CA",,"Riverside, CA",,33.9824949,-117.37424,"Riverside, California, USA"
65,0669000,c-us-ca-sna,s-us-ca,06,n-us,69000,2411814,Santa Ana,KZE9G2M4GRX9,CA,Santa Ana city,California,West,Pacific,Pacific West,"Santa Ana, California",c-us-ca-sna,309014,309014,"274,001 - 320,000",0669000,310227,LAUCT066900000000003,,,,,,,,CA0301900,"SANTA ANA, CA",,"Santa Ana, CA",,33.7494951,-117.87322,"Santa Ana, California, USA"
